PosName,Loc_x,Loc_y
LAY401,2.25,2.25
LAY402,6.75,2.25
LAY403,11.25,2.25
LAY404,15.75,2.25
LAY405,24.75,2.25
LAY406,29.25,2.25
LAY407,33.75,2.25
LAY408,38.25,2.25
LAY409,42.75,2.25
LAY410,51.75,2.25
LAY411,56.25,2.25
LAY412,60.75,2.25
LAY413,65.25,2.25
LAY414,69.75,2.25
LAY415,78.75,2.25
LAY416,83.25,2.25
LAY417,87.75,2.25
LAY418,92.25,2.25
LAY419,96.75,2.25
LAY420,105.75,2.25
LAY421,110.25,2.25
LAY422,114.75,2.25
LAY423,119.25,2.25
LAY424,123.75,2.25
LAY425,132.75,2.25
LAY426,137.25,2.25
LAY427,141.75,2.25
LAY428,146.25,2.25
LAY429,150.75,2.25
LAY430,159.75,2.25
LAY431,164.25,2.25
LAY432,168.75,2.25
LAY433,173.25,2.25
LAY434,177.75,2.25
LAY435,186.75,2.25
LAY436,191.25,2.25
LAY437,195.75,2.25
LAY438,200.25,2.25
LAY439,204.75,2.25
LAY440,213.75,2.25
LAY441,218.25,2.25
LAY442,222.75,2.25
LAY443,227.25,2.25
LAY444,231.75,2.25
LAY445,240.75,2.25
LAY446,245.25,2.25
LAY447,249.75,2.25
LAY448,254.25,2.25
LAY449,287.25,2.25
LAY450,291.75,2.25
LAY451,296.25,2.25
LAY452,300.75,2.25
LAY453,305.25,2.25
LAY454,314.25,2.25
LAY455,318.75,2.25
LAY456,323.25,2.25
LAY457,327.75,2.25
LAY458,332.25,2.25
LAY459,341.25,2.25
LAY460,345.75,2.25
LAY461,350.25,2.25
LAY462,354.75,2.25
LAY463,359.25,2.25
LAY464,368.25,2.25
LAY465,372.75,2.25
LAY466,377.25,2.25
LAY467,381.75,2.25
LAY468,386.25,2.25
LAY469,395.25,2.25
LAY470,399.75,2.25
LAY471,404.25,2.25
2,2.25,21
4,6.75,21
6,11.25,21
8,15.75,21
10,20.25,21
12,24.75,21
14,29.25,21
16,33.75,21
18,38.25,21
20,42.75,21
22,47.25,21
24,51.75,21
26,56.25,21
28,60.75,21
30,65.25,21
32,69.75,21
34,74.25,21
36,78.75,21
38,83.25,21
40,87.75,21
42,92.25,21
44,96.75,21
46,101.25,21
48,105.75,21
50,110.25,21
52,114.75,21
54,119.25,21
56,123.75,21
58,128.25,21
60,132.75,21
62,137.25,21
72,153.75,21
74,158.25,21
76,162.75,21
78,167.25,21
80,171.75,21
82,176.25,21
84,180.75,21
86,185.25,21
88,189.75,21
90,194.25,21
92,198.75,21
94,203.25,21
96,207.75,21
98,212.25,21
100,216.75,21
102,221.25,21
104,225.75,21
106,230.25,21
108,234.75,21
110,239.25,21
112,243.75,21
114,248.25,21
116,252.75,21
118,257.25,21
128,273.75,21
130,278.25,21
132,282.75,21
134,287.25,21
136,291.75,21
138,296.25,21
140,300.75,21
142,305.25,21
144,309.75,21
146,314.25,21
148,318.75,21
150,323.25,21
152,327.75,21
154,332.25,21
156,336.75,21
158,341.25,21
160,345.75,21
162,350.25,21
164,354.75,21
166,359.25,21
168,363.75,21
170,368.25,21
172,372.75,21
174,377.25,21
176,381.75,21
178,386.25,21
180,390.75,21
182,395.25,21
184,399.75,21
186,404.25,21
188,408.75,21
1,2.25,39.75
3,6.75,39.75
5,11.25,39.75
7,15.75,39.75
9,20.25,39.75
11,24.75,39.75
13,29.25,39.75
15,33.75,39.75
17,38.25,39.75
19,42.75,39.75
21,47.25,39.75
23,51.75,39.75
25,56.25,39.75
27,60.75,39.75
29,65.25,39.75
31,69.75,39.75
33,74.25,39.75
35,78.75,39.75
37,83.25,39.75
39,87.75,39.75
41,92.25,39.75
43,96.75,39.75
45,101.25,39.75
47,105.75,39.75
LAYPND01,123.75,39.75
LAYPND02,167.25,39.75
85,185.25,39.75
87,189.75,39.75
89,194.25,39.75
91,198.75,39.75
93,203.25,39.75
95,207.75,39.75
97,212.25,39.75
99,216.75,39.75
101,221.25,39.75
103,225.75,39.75
105,230.25,39.75
LAYPND03,248.25,39.75
LAYPND04,287.25,39.75
141,305.25,39.75
143,309.75,39.75
145,314.25,39.75
147,318.75,39.75
149,323.25,39.75
151,327.75,39.75
153,332.25,39.75
155,336.75,39.75
157,341.25,39.75
159,345.75,39.75
161,350.25,39.75
163,354.75,39.75
165,359.25,39.75
167,363.75,39.75
169,368.25,39.75
171,372.75,39.75
173,377.25,39.75
175,381.75,39.75
177,386.25,39.75
179,390.75,39.75
181,395.25,39.75
183,399.75,39.75
185,404.25,39.75
187,408.75,39.75